pair_index,precision media: 0.8947 desviacion: 0.1656
0,1.0
1,1.0
2,1.0
3,0.8
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,0.8
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,0.8
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,0.6
23,0.8
24,0.8
25,1.0
26,0.8
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,0.8
35,1.0
36,0.8
37,0.8
38,0.8
39,0.3
40,0.625
41,0.8
42,0.5
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,0.8
52,1.0
53,1.0
54,1.0
55,0.8
56,0.8
57,1.0
58,1.0
59,0.6
60,1.0
61,0.5
62,0.6
63,1.0
64,0.8
65,1.0
66,0.8
67,0.6
68,1.0
69,1.0
70,1.0
71,1.0
72,1.0
73,0.4
74,0.5
75,0.8
76,0.8
77,1.0
78,1.0
79,0.8
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,0.8
87,0.8
88,1.0
89,0.5
90,0.5
91,0.6
92,0.8
93,1.0
94,0.6
95,0.8
96,0.8
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
