timestamp,puntuacion_del_segmento,puntuacion_bruta,tiempo_segundo,puntuacion_total
2024-10-10 22:32:44,1.1229,52288.2016,35.9769,
2024-10-10 22:33:04,5.5937,43734.8841,19.8477,6.7166
2024-10-10 22:42:13,1.3602,67973.4798,36.8341,
2024-10-10 22:42:33,5.8506,50273.3313,20.4824,7.2108
2024-10-10 22:44:39,1.8910,90230.5948,36.2702,
2024-10-10 22:44:59,6.0226,48593.8272,20.0570,7.9136
2024-10-10 22:46:54,1.3202,65435.1980,36.7327,
2024-10-10 22:47:15,5.8792,50287.3845,20.4510,7.1994
2024-10-10 23:05:02,1.3308,64380.0140,36.4371,
2024-10-10 23:05:23,3.9464,34679.6066,20.6360,5.2772
2024-10-10 23:50:32,1.5476,73557.0703,36.2234,
2024-10-10 23:50:55,5.9858,66838.6540,22.3512,7.5334
2024-10-11 00:03:15,1.3934,66832.7123,36.3332,
2024-10-11 00:03:35,5.9152,50031.8531,20.3748,7.3086
2024-10-11 10:23:17,1.7209,83923.2153,36.5351,
2024-10-11 10:23:38,5.8696,53715.3403,20.9169,7.5905
2024-10-11 11:30:17,1.4388,64413.6632,35.5079,
2024-10-11 11:30:37,3.2233,27102.6286,20.3346,4.6621
