film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,date,month,quarter,day,class
1572,498,1080000,18,0,2,3.6,60000.0,18,500.0,2018-10-25,10,4,25,baja
1556,556,10800000,90,0,4,8.49,120000.0,90,1060.0706713780917,2018-08-27,8,3,27,baja
1499,222,2000000,28,0,3,11.11,71428.57142857143,28,252.02520252025204,2018-07-11,7,3,11,baja
1558,273,650000,13,0,2,1.76,50000.0,13,738.6363636363636,2018-09-01,9,3,1,baja
1499,428,1750000,25,0,2,8.33,70000.0,25,300.1200480192077,2018-06-24,6,2,24,baja
1497,50,200000,2,0,3,0.37,100000.0,2,540.5405405405405,2018-05-12,5,2,12,baja
1562,144,160000,2,0,2,1.96,80000.0,2,102.04081632653062,2018-09-10,9,3,10,baja
1481,514,1120000,14,5,2,6.02,80000.0,9,232.5581395348837,2018-06-11,6,2,11,baja
1565,448,300000,2,0,1,1.14,150000.0,2,175.43859649122808,2018-08-26,8,3,26,baja
1558,57,240000,2,0,3,0.32,120000.0,2,625.0,2018-09-10,9,3,10,baja
1560,504,160000,4,0,4,0.5,40000.0,4,800.0,2018-08-13,8,3,13,baja
1562,253,665000,19,0,3,6.67,35000.0,19,284.8575712143928,2018-09-12,9,3,12,baja
1560,431,2520000,42,0,6,15.5,60000.0,42,270.96774193548384,2018-08-11,8,3,11,baja
1494,442,5000000,101,0,2,25.9,49504.9504950495,101,389.96138996139,2018-05-27,5,2,27,baja
1481,518,1280000,18,0,2,16.36,71111.11111111111,18,110.0244498777506,2018-08-06,8,3,6,baja
1550,276,720000,12,0,3,1.0,60000.0,12,1200.0,2018-09-28,9,3,28,baja
1559,57,3840000,64,0,6,3.14,60000.0,64,2038.216560509554,2018-09-25,9,3,25,baja
1484,485,21150000,141,0,4,26.55,150000.0,141,531.0734463276835,2018-04-07,4,2,7,baja
1499,524,14550000,99,6,4,20.41,146969.69696969696,93,485.0563449289564,2018-07-05,7,3,5,baja
1485,453,9510000,163,0,4,19.18,58343.55828220859,163,849.8435870698645,2018-04-20,4,2,20,baja
1496,71,11550000,83,0,3,11.58,139156.6265060241,83,716.7530224525043,2018-05-12,5,2,12,baja
1566,524,2210000,18,0,3,7.09,122777.77777777778,18,253.8787023977433,2018-09-09,9,3,9,baja
1493,222,3560000,46,0,4,11.27,77391.30434782608,46,408.16326530612247,2018-07-29,7,3,29,baja
1572,561,3540000,59,0,2,10.99,60000.0,59,536.8516833484987,2018-10-24,10,4,24,baja
