RowId,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,airport_fee
0,2,2023-06-30 23:59:59,2023-07-01 00:47:49,2.0,17.62,2.0,N,132,230,1,70.0,0.0,0.5,0.0,6.55,1.0,82.3,2.5,1.75,
1,2,2023-06-30 23:59:57,2023-07-01 00:17:36,1.0,3.32,1.0,N,255,198,1,18.4,1.0,0.5,2.5,0.0,1.0,23.4,0.0,0.0,
2,1,2023-06-30 23:59:55,2023-07-01 00:14:20,1.0,2.8,1.0,N,231,107,1,14.9,3.5,0.5,3.95,0.0,1.0,23.85,2.5,0.0,
3,2,2023-06-30 23:59:55,2023-07-01 00:05:52,1.0,0.89,1.0,N,237,163,1,7.2,1.0,0.5,2.0,0.0,1.0,14.2,2.5,0.0,
4,2,2023-06-30 23:59:55,2023-07-01 00:07:08,4.0,1.56,1.0,N,211,90,1,10.0,1.0,0.5,3.0,0.0,1.0,18.0,2.5,0.0,
5,2,2023-06-30 23:59:54,2023-07-01 00:14:58,1.0,3.85,1.0,N,161,166,1,19.1,1.0,0.5,10.0,0.0,1.0,34.1,2.5,0.0,
6,2,2023-06-30 23:59:53,2023-07-01 00:05:52,2.0,1.05,1.0,N,65,33,1,7.9,1.0,0.5,2.08,0.0,1.0,12.48,0.0,0.0,
7,2,2023-06-30 23:59:53,2023-07-01 00:08:36,1.0,1.5,1.0,N,107,249,1,10.7,1.0,0.5,3.14,0.0,1.0,18.84,2.5,0.0,
8,1,2023-06-30 23:59:52,2023-07-01 00:15:15,3.0,2.8,1.0,N,48,79,1,14.9,3.5,0.5,4.0,0.0,1.0,23.9,2.5,0.0,
9,2,2023-06-30 23:59:51,2023-07-01 00:08:49,1.0,2.17,1.0,N,90,48,4,12.1,1.0,0.5,0.0,0.0,1.0,17.1,2.5,0.0,
10,2,2023-06-30 23:59:51,2023-07-01 00:26:37,,10.16,,,25,75,0,37.15,0.0,0.5,0.0,0.0,1.0,41.15,,,
