degree,C,gamma,cv_accuracy,test_accuracy,n_sv
3,10.0,0.1,0.8718100890207714,0.8886255924170616,789
3,1.0,0.1,0.8640949554896142,0.8767772511848341,897
3,10.0,auto,0.8605341246290802,0.8791469194312796,916
3,10.0,scale,0.8605341246290802,0.8791469194312796,916
2,10.0,0.1,0.858753709198813,0.8459715639810427,784
2,10.0,auto,0.8474777448071217,0.8554502369668247,900
2,10.0,scale,0.8474777448071217,0.8554502369668247,900
4,1.0,0.1,0.8391691394658753,0.8436018957345972,960
4,10.0,0.1,0.8356083086053413,0.8459715639810427,856
2,1.0,0.1,0.8308605341246291,0.8388625592417062,946
4,10.0,auto,0.8130563798219583,0.8175355450236966,1048
4,10.0,scale,0.8130563798219583,0.8175355450236966,1048
2,1.0,scale,0.7715133531157271,0.7582938388625592,1158
2,1.0,auto,0.7715133531157271,0.7582938388625592,1158
3,0.1,0.1,0.7614243323442136,0.7654028436018957,1178
4,0.1,0.1,0.7554896142433234,0.7606635071090048,1192
3,1.0,auto,0.7454005934718101,0.7440758293838863,1202
3,1.0,scale,0.7454005934718101,0.7440758293838863,1202
2,0.1,0.1,0.715727002967359,0.7251184834123223,1255
4,1.0,auto,0.6997032640949554,0.6943127962085308,1341
4,1.0,scale,0.6997032640949554,0.6943127962085308,1341
2,0.1,auto,0.6166172106824925,0.6303317535545023,1578
2,0.1,scale,0.6166172106824925,0.6303317535545023,1578
3,0.1,auto,0.49436201780415434,0.518957345971564,1601
3,0.1,scale,0.49436201780415434,0.518957345971564,1601
4,0.1,auto,0.32462908011869435,0.41706161137440756,1602
4,0.1,scale,0.32462908011869435,0.41706161137440756,1602
