degree,C,gamma,cv_accuracy,test_accuracy,n_sv
3,10.0,0.1,0.8718100890207714,0.8886255924170616,789
3,1.0,0.1,0.8640949554896142,0.8767772511848341,897
3,10.0,auto,0.8605341246290802,0.8791469194312796,916
3,10.0,scale,0.8605341246290802,0.8791469194312796,916
2,10.0,0.1,0.858753709198813,0.8459715639810427,784
2,10.0,auto,0.8474777448071217,0.8554502369668247,900
2,10.0,scale,0.8474777448071217,0.8554502369668247,900
4,1.0,0.1,0.8391691394658753,0.8436018957345972,960
4,10.0,0.1,0.8356083086053413,0.8459715639810427,856
2,1.0,0.1,0.8308605341246291,0.8388625592417062,946
4,10.0,auto,0.8130563798219583,0.8175355450236966,1048
4,10.0,scale,0.8130563798219583,0.8175355450236966,1048
