max_depth,min_samples_split,min_samples_leaf,max_leaf_nodes,cv_accuracy_mean,cv_accuracy_std,rank_test_score
,2,2,,0.9287833827893174,0.01258943824071004,1
,5,1,,0.9275964391691396,0.013867443852282385,2
,5,2,,0.9270029673590503,0.017464615987610867,3
10,2,2,,0.9252225519287836,0.015968693230948034,4
10,2,1,,0.9252225519287833,0.017444437337328245,5
10,5,1,,0.9252225519287833,0.012363600389317268,5
10,5,2,,0.9240356083086054,0.01964741288693992,7
,2,1,,0.9240356083086054,0.011039213790942564,7
,2,2,50,0.9228486646884273,0.017097757021825453,9
10,2,2,50,0.9222551928783382,0.017343191924275924,10
,10,1,,0.9204747774480714,0.018330498767335918,11
,5,2,50,0.9204747774480712,0.015634349996818373,12
