n_estimators,max_features,max_depth,min_samples_leaf,cv_accuracy_mean,cv_accuracy_std,rank_test_score
200,,,1,0.9519287833827892,0.01682783012315469,1
200,,20,1,0.9519287833827892,0.01682783012315469,1
100,,20,1,0.9507418397626113,0.016952945824434067,3
100,,,1,0.9507418397626113,0.016952945824434067,3
200,,10,1,0.9495548961424334,0.016785917654280058,5
200,,,2,0.9483679525222553,0.018156746042466886,6
200,,20,2,0.9483679525222553,0.018156746042466886,6
100,,10,1,0.9477744807121662,0.015768937988826618,8
100,,,2,0.9471810089020772,0.019267279621065787,9
100,,20,2,0.9471810089020772,0.019267279621065787,9
200,,10,2,0.9471810089020771,0.01908360260037213,11
100,,10,2,0.9459940652818991,0.019083602600372136,12
200,log2,,1,0.9442136498516321,0.017545098515245668,13
200,sqrt,,1,0.9442136498516321,0.017545098515245668,13
200,sqrt,20,1,0.9436201780415431,0.017302527877879222,15
200,log2,20,1,0.9436201780415431,0.017302527877879222,15
100,sqrt,20,1,0.93946587537092,0.016532211604966304,17
100,log2,20,1,0.93946587537092,0.016532211604966304,17
100,log2,,2,0.9394658753709197,0.011507845358851831,19
100,sqrt,,2,0.9394658753709197,0.011507845358851831,19
100,log2,20,2,0.9394658753709197,0.011507845358851831,19
100,sqrt,20,2,0.9394658753709197,0.011507845358851831,19
200,sqrt,20,2,0.9388724035608309,0.01165987104118013,23
100,sqrt,,1,0.9388724035608309,0.01891676848725134,23
200,log2,,2,0.9388724035608309,0.01165987104118013,23
100,log2,,1,0.9388724035608309,0.01891676848725134,23
200,sqrt,,2,0.9388724035608309,0.01165987104118013,23
200,log2,20,2,0.9388724035608309,0.01165987104118013,23
200,log2,10,1,0.9382789317507421,0.016827830123154683,29
200,sqrt,10,1,0.9382789317507421,0.016827830123154683,29
100,log2,10,1,0.9364985163204749,0.019009634870085446,31
100,sqrt,10,1,0.9364985163204749,0.019009634870085446,31
200,log2,10,2,0.9323442136498518,0.015968693230948055,33
200,sqrt,10,2,0.9323442136498518,0.015968693230948055,33
200,,20,5,0.9317507418397627,0.025457104557302337,35
200,,,5,0.9317507418397627,0.025457104557302337,35
100,sqrt,10,2,0.9305637982195847,0.01373986575998838,37
100,log2,10,2,0.9305637982195847,0.01373986575998838,37
100,,20,5,0.9305637982195846,0.024727200778634616,39
200,sqrt,20,5,0.9305637982195846,0.011659871041180133,39
100,,,5,0.9305637982195846,0.024727200778634616,39
200,log2,20,5,0.9305637982195846,0.011659871041180133,39
200,log2,,5,0.9305637982195846,0.011659871041180133,39
200,sqrt,,5,0.9305637982195846,0.011659871041180133,39
200,,10,5,0.9305637982195846,0.026909873112770644,39
100,,10,5,0.9293768545994064,0.026031705874731526,46
100,sqrt,20,5,0.9246290801186945,0.012249120142759817,47
100,log2,20,5,0.9246290801186945,0.012249120142759817,47
100,log2,,5,0.9246290801186945,0.012249120142759817,47
100,sqrt,,5,0.9246290801186945,0.012249120142759817,47
200,sqrt,10,5,0.9246290801186943,0.00967923230284869,51
200,log2,10,5,0.9246290801186943,0.00967923230284869,51
100,sqrt,10,5,0.9186943620178042,0.011659871041180117,53
100,log2,10,5,0.9186943620178042,0.011659871041180117,53
