n_estimators,max_features,max_depth,min_samples_leaf,cv_accuracy_mean,cv_accuracy_std,rank_test_score
200,,,1,0.9519287833827892,0.01682783012315469,1
200,,20,1,0.9519287833827892,0.01682783012315469,1
100,,20,1,0.9507418397626113,0.016952945824434067,3
100,,,1,0.9507418397626113,0.016952945824434067,3
200,,10,1,0.9495548961424334,0.016785917654280058,5
200,,,2,0.9483679525222553,0.018156746042466886,6
200,,20,2,0.9483679525222553,0.018156746042466886,6
100,,10,1,0.9477744807121662,0.015768937988826618,8
100,,,2,0.9471810089020772,0.019267279621065787,9
100,,20,2,0.9471810089020772,0.019267279621065787,9
200,,10,2,0.9471810089020771,0.01908360260037213,11
100,,10,2,0.9459940652818991,0.019083602600372136,12
