n_estimators,learning_rate,max_depth,subsample,cv_accuracy_mean,cv_accuracy_std,rank_test_score
200,0.1,3,1.0,0.9608308605341247,0.014218573947431373,1
200,0.5,3,1.0,0.9584569732937686,0.010106460751291603,2
200,0.1,3,0.8,0.9584569732937686,0.01110284091030844,2
200,0.05,3,0.8,0.9584569732937686,0.013002315905167146,2
200,0.05,3,1.0,0.9578635014836795,0.014824921064447228,5
100,0.5,3,0.8,0.9572700296735904,0.011809939906310032,6
100,0.5,3,1.0,0.9572700296735904,0.008921837613277665,6
200,0.5,3,0.8,0.9566765578635016,0.013217244778231496,8
100,0.1,3,1.0,0.9560830860534125,0.01813733743612595,9
100,0.1,3,0.8,0.9548961424332344,0.008681744117701966,10
100,0.5,2,0.8,0.9543026706231453,0.012673089913390284,11
100,0.5,2,1.0,0.9543026706231453,0.013739865759988382,11
200,0.5,2,1.0,0.9537091988130564,0.014966789570229642,13
200,0.1,2,0.8,0.9537091988130564,0.010715412513512042,13
200,0.5,2,0.8,0.9537091988130564,0.013611091918314198,13
200,0.1,2,1.0,0.9513353115727001,0.009308241626918765,16
100,0.05,3,0.8,0.9448071216617212,0.015315712641618918,17
100,0.05,3,1.0,0.943026706231454,0.020847677234718438,18
100,0.1,2,0.8,0.9406528189910979,0.007737925703504647,19
200,0.5,1,1.0,0.9400593471810088,0.01371420772497489,20
200,0.05,2,0.8,0.93946587537092,0.012104497361644609,21
100,0.1,2,1.0,0.9388724035608309,0.010381516726727548,22
200,0.05,2,1.0,0.9370919881305637,0.009458384243625665,23
100,0.5,1,1.0,0.9293768545994064,0.015292698785430416,24
200,0.5,1,0.8,0.9252225519287833,0.009823706443469912,25
100,0.05,2,0.8,0.9169139465875371,0.01061634648071118,26
100,0.5,1,0.8,0.915727002967359,0.017464615987610864,27
200,0.01,3,0.8,0.9127596439169139,0.013993858899171045,28
100,0.05,2,1.0,0.910385756676558,0.00712166172106828,29
200,0.01,3,1.0,0.9068249258160236,0.018729654407192285,30
200,0.1,1,0.8,0.885459940652819,0.01684874726003369,31
200,0.1,1,1.0,0.8818991097922849,0.010846093105339516,32
100,0.01,3,0.8,0.8694362017804155,0.011568895364758431,33
100,0.01,3,1.0,0.8629080118694363,0.01264526750899853,34
200,0.05,1,0.8,0.8486646884272997,0.010943079474531586,35
100,0.1,1,0.8,0.8462908011869436,0.016078596064265944,36
100,0.1,1,1.0,0.8433234421364986,0.008266105802483133,37
200,0.05,1,1.0,0.8421364985163204,0.010516347268052995,38
200,0.01,2,0.8,0.8320474777448071,0.0196474128869399,39
200,0.01,2,1.0,0.8183976261127597,0.020763033453455055,40
100,0.05,1,1.0,0.7685459940652819,0.032288357290766616,41
100,0.05,1,0.8,0.7661721068249259,0.03114455018018261,42
100,0.01,2,0.8,0.7513353115727004,0.003936646635436702,43
100,0.01,2,1.0,0.7507418397626112,0.015361636920527942,44
200,0.01,1,0.8,0.6700296735905045,0.04206538907221212,45
200,0.01,1,1.0,0.6688427299703263,0.03774965909504864,46
100,0.01,1,1.0,0.6201780415430267,0.02410693888616012,47
100,0.01,1,0.8,0.6172106824925816,0.03223377000356146,48
