n_estimators,learning_rate,max_depth,subsample,cv_accuracy_mean,cv_accuracy_std,rank_test_score
200,0.1,3,1.0,0.9608308605341247,0.014218573947431373,1
200,0.5,3,1.0,0.9584569732937686,0.010106460751291603,2
200,0.1,3,0.8,0.9584569732937686,0.01110284091030844,2
200,0.05,3,0.8,0.9584569732937686,0.013002315905167146,2
200,0.05,3,1.0,0.9578635014836795,0.014824921064447228,5
100,0.5,3,0.8,0.9572700296735904,0.011809939906310032,6
100,0.5,3,1.0,0.9572700296735904,0.008921837613277665,6
200,0.5,3,0.8,0.9566765578635016,0.013217244778231496,8
100,0.1,3,1.0,0.9560830860534125,0.01813733743612595,9
100,0.1,3,0.8,0.9548961424332344,0.008681744117701966,10
100,0.5,2,0.8,0.9543026706231453,0.012673089913390284,11
100,0.5,2,1.0,0.9543026706231453,0.013739865759988382,11
