"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"0400000US06","California","13434847","19805","4.4","0.1","3.0","0.1","5.2","0.1","5.5","0.1","8.4","0.1","13.3","0.1","11.8","0.1","17.9","0.1","11.1","0.1","19.4","0.1","96334","298","136730","407","39.6","(X)","(X)","(X)","(X)","(X)","9144470","24253","2.8","0.1","1.5","0.1","3.8","0.1","4.7","0.1","7.8","0.1","12.9","0.1","12.0","0.1","19.0","0.1","12.5","0.1","22.9","0.1","110108","451","152870","522","(X)","(X)","41.6","(X)","(X)","(X)","6555957","28837","1.4","0.1","0.8","0.1","2.6","0.1","3.2","0.1","6.0","0.1","11.0","0.1","11.4","0.1","20.0","0.1","14.5","0.1","29.0","0.2","132245","467","178126","579","(X)","(X)","(X)","(X)","(X)","(X)","4290377","14389","8.9","0.1","6.6","0.1","8.9","0.1","7.9","0.1","10.4","0.1","14.5","0.2","11.2","0.2","14.3","0.2","7.2","0.1","10.0","0.1","61846","316","93218","499","(X)","(X)","(X)","(X)","33.3","(X)",
"0500000US06075","San Francisco County, California","362650","1987","4.2","0.3","4.3","0.3","4.8","0.3","3.9","0.3","5.2","0.4","8.1","0.3","8.4","0.3","13.4","0.5","11.6","0.4","36.1","0.6","141446","2576","204625","3235","34.8","(X)","(X)","(X)","(X)","(X)","169671","2262","2.0","0.3","1.6","0.3","3.7","0.4","3.4","0.3","4.8","0.5","7.6","0.4","8.6","0.5","14.0","0.7","12.1","0.6","42.3","0.9","165603","4284","241998","4579","(X)","(X)","38.8","(X)","(X)","(X)","128875","2027","1.1","0.2","0.9","0.2","3.2","0.4","2.4","0.4","3.6","0.5","6.1","0.5","7.3","0.6","12.8","0.7","12.4","0.7","50.3","1.1","201057","3956","279452","5756","(X)","(X)","(X)","(X)","(X)","(X)","192979","2405","6.4","0.5","6.8","0.5","6.0","0.5","4.5","0.4","5.7","0.5","8.7","0.6","8.5","0.5","13.2","0.8","11.0","0.5","29.3","0.8","112747","3706","165742","3743","(X)","(X)","(X)","(X)","30.3","(X)",
"1400000US06075010101","Census Tract 101.01; San Francisco County; California","1212","143","2.5","2.6","2.1","2.1","17.7","9.2","0.0","3.4","8.3","6.5","11.1","7.3","4.5","3.7","22.6","10.8","11.4","7.1","19.7","7.3","101974","26444","138075","24264","32.8","(X)","(X)","(X)","(X)","(X)","415","115","0.0","9.7","1.0","2.6","34.5","18.9","0.0","9.7","2.4","4.9","0.0","9.7","4.8","5.7","22.7","17.1","11.3","13.2","23.4","18.6","101338","30774","141498","60825","(X)","(X)","28.4","(X)","(X)","(X)","363","93","0.0","11.0","1.1","2.9","25.1","19.9","0.0","11.0","2.8","5.6","0.0","11.0","5.5","6.4","25.9","18.9","12.9","14.7","26.7","20.8","102478","56204","N","N","(X)","(X)","(X)","(X)","(X)","(X)","797","156","3.8","3.9","2.8","2.9","8.9","9.1","0.0","5.2","11.4","10.4","16.9","10.9","4.4","4.8","22.6","13.9","11.4","8.0","17.8","9.8","115246","66886","136292","35584","(X)","(X)","(X)","(X)","35.1","(X)",
"1400000US06075010102","Census Tract 101.02; San Francisco County; California","907","200","8.2","7.6","8.5","10.4","4.2","4.9","22.7","13.9","1.9","2.5","1.7","3.1","2.3","3.1","11.1","7.2","6.3","5.6","33.2","9.6","108417","105598","162865","43156","40.9","(X)","(X)","(X)","(X)","(X)","475","171","0.0","8.6","0.0","8.6","3.8","5.7","40.6","21.9","1.7","3.4","3.2","6.1","4.4","6.0","9.3","8.4","14.1","10.9","22.9","9.8","-","**","155052","58761","(X)","(X)","56.4","(X)","(X)","(X)","171","64","0.0","21.8","0.0","21.8","2.9","5.2","0.0","21.8","0.0","21.8","0.0","21.8","0.0","21.8","17.0","14.5","18.1","17.2","62.0","17.7","224375","54915","N","N","(X)","(X)","(X)","(X)","(X)","(X)","432","148","17.1","14.7","17.8","20.2","4.6","7.5","3.0","4.0","2.1","3.6","0.0","9.4","0.0","9.4","13.2","10.6","0.7","1.7","41.4","19.2","-","**","168696","79741","(X)","(X)","(X)","(X)","23.8","(X)",
"1400000US06075010201","Census Tract 102.01; San Francisco County; California","1375","174","4.1","2.9","0.4","0.6","1.7","2.0","5.7","3.5","2.3","2.3","4.9","4.4","3.3","2.4","13.6","8.2","19.0","9.9","44.9","11.2","160221","57753","331971","106364","28.7","(X)","(X)","(X)","(X)","(X)","520","158","0.6","1.6","0.0","7.8","0.0","7.8","3.5","5.5","0.0","7.8","5.4","8.4","0.0","7.8","5.0","5.9","16.7","21.9","68.8","21.8","250,000+","***","532678","241655","(X)","(X)","21.3","(X)","(X)","(X)","419","169","0.0","9.6","0.0","9.6","0.0","9.6","0.0","9.6","0.0","9.6","6.7","10.7","0.0","9.6","0.0","9.6","20.8","25.0","72.6","26.3","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","855","172","6.2","4.6","0.6","1.0","2.7","3.2","7.1","5.6","3.7","3.8","4.7","4.6","5.4","3.8","18.8","11.0","20.4","9.7","30.4","10.3","150232","11092","209904","70851","(X)","(X)","(X)","(X)","33.2","(X)",
"1400000US06075010202","Census Tract 102.02; San Francisco County; California","1091","139","6.0","7.4","0.0","3.8","0.7","1.2","5.4","4.4","7.1","5.9","1.6","2.9","4.0","4.3","2.7","3.1","21.6","11.2","50.9","13.4","206484","44830","348662","160321","37.8","(X)","(X)","(X)","(X)","(X)","391","107","0.0","10.3","0.0","10.3","2.0","3.5","0.0","10.3","5.4","8.3","0.0","10.3","4.6","5.2","10.5","13.5","29.4","16.1","48.1","18.5","157296","119514","268353","117876","(X)","(X)","65.2","(X)","(X)","(X)","370","98","0.0","10.8","0.0","10.8","2.2","3.7","0.0","10.8","5.7","8.6","0.0","10.8","2.2","3.4","8.1","12.4","31.1","17.6","50.8","18.0","205469","109868","N","N","(X)","(X)","(X)","(X)","(X)","(X)","700","137","9.3","11.0","0.0","5.9","0.0","5.9","8.4","6.6","8.0","8.2","2.4","4.3","3.7","5.6","2.7","3.2","17.3","11.9","48.1","17.1","199244","50318","386939","224922","(X)","(X)","(X)","(X)","22.4","(X)",
"1400000US06075010300","Census Tract 103; San Francisco County; California","2143","355","5.0","4.3","4.4","4.2","2.7","3.1","5.5","6.0","2.1","2.7","5.8","6.0","6.9","5.2","7.9","5.2","15.3","11.1","44.5","9.7","158973","60804","206494","35812","30.1","(X)","(X)","(X)","(X)","(X)","807","239","4.1","6.2","5.2","7.3","6.9","5.9","0.0","5.1","1.6","3.4","13.3","14.5","3.8","6.2","4.3","5.6","12.8","9.6","48.0","18.0","193885","120247","230749","64624","(X)","(X)","48.7","(X)","(X)","(X)","687","245","0.0","6.0","6.1","8.5","0.0","6.0","0.0","6.0","1.9","3.9","15.6","17.0","4.5","7.5","5.1","6.7","15.0","11.5","51.8","17.8","248322","123134","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1336","371","5.6","6.4","3.9","5.1","4.3","5.1","8.8","9.2","2.3","3.8","1.3","2.2","8.7","7.4","10.1","7.5","16.8","16.7","38.2","10.8","153230","25694","176531","37085","(X)","(X)","(X)","(X)","18.9","(X)",
"1400000US06075010401","Census Tract 104.01; San Francisco County; California","944","203","8.9","6.0","7.7","6.6","0.0","4.4","0.7","1.5","7.8","5.8","3.6","4.1","9.6","8.1","5.4","4.9","6.1","4.9","50.0","12.0","207500","116158","230321","33467","23.6","(X)","(X)","(X)","(X)","(X)","508","200","1.4","2.6","6.1","9.8","0.0","8.0","0.0","8.0","11.2","10.2","0.0","8.0","2.4","4.2","5.7","8.6","6.7","7.8","66.5","17.2","250,000+","***","275327","47242","(X)","(X)","10.0","(X)","(X)","(X)","445","201","0.0","9.1","0.0","9.1","0.0","9.1","0.0","9.1","12.8","11.2","0.0","9.1","2.7","5.0","0.9","3.5","7.6","8.9","76.0","17.6","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","436","121","19.3","13.0","8.0","9.5","0.0","9.3","1.6","3.3","3.9","6.1","7.8","8.8","18.1","16.3","5.0","4.3","5.5","6.6","30.7","15.0","82440","36005","177783","69194","(X)","(X)","(X)","(X)","39.4","(X)",
"1400000US06075010402","Census Tract 104.02; San Francisco County; California","1202","141","0.0","3.5","2.1","2.6","8.3","7.2","7.4","7.6","3.2","2.7","6.5","4.5","6.3","4.9","12.2","7.3","7.7","5.9","46.3","9.9","158500","78423","255989","63180","38.2","(X)","(X)","(X)","(X)","(X)","391","112","0.0","10.3","4.9","7.4","0.0","10.3","0.0","10.3","2.6","4.0","5.4","8.9","0.0","10.3","12.8","13.6","0.0","10.3","74.4","14.2","250,000+","***","333985","84214","(X)","(X)","36.8","(X)","(X)","(X)","318","85","0.0","12.5","6.0","9.2","0.0","12.5","0.0","12.5","3.1","5.0","0.0","12.5","0.0","12.5","15.7","16.0","0.0","12.5","75.2","15.9","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","811","155","0.0","5.1","0.7","1.3","12.3","10.6","11.0","11.2","3.6","3.8","7.0","4.9","9.4","7.1","12.0","8.0","11.3","8.7","32.7","12.5","123672","55754","218386","88389","(X)","(X)","(X)","(X)","38.8","(X)",
"1400000US06075010500","Census Tract 105; San Francisco County; California","1738","213","2.6","3.0","5.6","6.4","3.0","2.5","3.7","3.6","3.2","2.1","6.7","3.5","11.6","7.1","10.9","5.0","9.1","3.9","43.6","7.8","171667","36877","225367","39600","18.1","(X)","(X)","(X)","(X)","(X)","773","194","0.0","5.3","3.8","5.7","2.5","3.5","2.7","4.0","3.6","3.8","3.6","3.5","15.9","12.2","4.8","4.3","7.8","4.9","55.4","11.8","221190","39187","266893","50377","(X)","(X)","12.9","(X)","(X)","(X)","689","191","0.0","6.0","0.0","6.0","2.8","3.8","3.0","4.5","2.6","3.3","3.0","3.6","17.9","13.6","4.6","4.6","6.8","5.0","59.2","12.8","222077","53827","N","N","(X)","(X)","(X)","(X)","(X)","(X)","965","198","4.8","5.3","7.0","10.8","3.4","3.5","4.6","5.5","2.8","2.7","9.1","5.6","8.2","6.4","15.8","8.8","10.3","6.2","34.1","10.6","138393","31674","192103","48856","(X)","(X)","(X)","(X)","22.3","(X)",
"1400000US06075010600","Census Tract 106; San Francisco County; California","1836","250","3.9","2.6","7.8","5.3","14.6","7.3","3.6","2.4","11.1","5.1","5.0","3.6","12.2","6.6","16.1","6.3","4.5","3.1","21.2","6.9","86111","21954","119223","18850","32.3","(X)","(X)","(X)","(X)","(X)","610","115","2.5","4.6","11.6","11.5","12.1","8.7","3.1","3.6","7.0","5.1","3.8","4.2","4.9","4.0","26.2","11.5","3.8","4.5","24.9","12.9","115938","35904","137222","41350","(X)","(X)","49.2","(X)","(X)","(X)","417","112","3.4","5.5","2.2","3.8","13.2","12.0","1.4","2.3","4.6","5.8","5.5","6.2","3.4","3.7","30.0","14.4","2.4","3.7","34.1","15.6","124205","26209","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1226","247","4.6","3.2","6.0","5.3","15.8","9.8","3.9","3.0","13.1","7.6","5.5","4.7","15.8","9.7","11.1","7.6","4.8","4.1","19.3","8.5","82973","57608","110267","23091","(X)","(X)","(X)","(X)","23.9","(X)",
"1400000US06075010701","Census Tract 107.01; San Francisco County; California","1834","237","13.6","7.4","18.4","8.9","17.0","7.6","15.1","9.0","8.8","5.2","15.6","9.1","1.5","1.8","5.1","4.2","2.8","2.6","2.2","2.1","27531","8368","47687","12282","27.0","(X)","(X)","(X)","(X)","(X)","851","219","0.0","4.9","2.7","3.9","29.1","13.3","25.6","16.6","11.6","7.8","13.7","8.0","3.2","4.1","4.8","6.4","6.0","5.5","3.2","3.9","32732","4896","61328","23354","(X)","(X)","30.6","(X)","(X)","(X)","602","187","0.0","6.8","2.2","3.9","38.7","16.8","24.6","18.5","8.1","8.9","17.4","11.2","4.5","5.9","0.0","6.8","0.0","6.8","4.5","5.5","29219","4620","N","N","(X)","(X)","(X)","(X)","(X)","(X)","983","243","25.4","13.2","31.9","14.7","6.4","4.4","6.0","4.6","6.3","6.2","17.2","15.2","0.0","4.2","5.3","5.6","0.0","4.2","1.4","2.2","14075","1967","35878","14870","(X)","(X)","(X)","(X)","24.0","(X)",
"1400000US06075010702","Census Tract 107.02; San Francisco County; California","674","95","4.7","4.1","14.1","11.6","0.0","6.1","6.2","4.9","5.9","6.9","17.5","11.8","14.4","8.3","2.7","3.0","10.4","7.8","24.0","10.8","80472","23309","207053","85562","37.1","(X)","(X)","(X)","(X)","(X)","309","89","19.7","17.5","9.1","12.4","0.0","12.8","12.0","11.0","0.0","12.8","7.4","11.6","6.5","8.4","3.2","4.7","3.2","5.4","38.8","17.3","-","**","319747","166237","(X)","(X)","42.4","(X)","(X)","(X)","180","72","5.6","8.0","0.0","20.8","0.0","20.8","13.3","15.6","0.0","20.8","0.0","20.8","8.9","12.8","0.0","20.8","5.6","9.5","66.7","22.2","250,000+","***","N","N","(X)","(X)","(X)","(X)","(X)","(X)","365","104","0.0","11.0","18.4","17.1","0.0","11.0","1.4","2.4","3.0","4.5","26.0","19.0","21.1","12.2","2.2","3.8","16.4","13.6","11.5","10.2","80262","30039","108301","31888","(X)","(X)","(X)","(X)","24.7","(X)",
